Name   | Encryption key | Time | Secret Message
1.png  | river		| 14:41| Hi there, are you okay?
2.png  | house		| 14:42| I Can't See My Forehead
3.png  | treeAndLeaf	| 14:43| Well Maybe It Is Stupid, But It's Also Dumb
4.png  | houseAndstair	| 14:44| The Inner Machinations Of My Mind Are An Enigma.
5.png  | sn0w		| 14:44| Is Mayonnaise An Instrument?
6.png  | weAreBinusian	| 14:45| No, This Is Patrick!
7.png  | webarebear	| 14:46| Sometimes we have to go deep inside ourselves to solve our problems
8.png  | rainbowclothes	| 14:47| Money can't replace friendship, I'd rather have no money than losing you
9.png  | deepblack	| 14:53| Dumb people are just blissfully unaware of how dumb they are
10.png | beaglepuppy	| 14:51| I'm so loyal, I haven't bathed in weeks!
11.png | onicesport	| 14:53| Now that we're men, I changed my underwear.
12.png | tailung	| 15:07| You cannot stop the unstoppable
13.png | snowwhite	| 15:08| I wumbo, you wumbo. He, she, we wumbo
